Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
sg3.adminviper8.workers.dev,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
bistrokolumna.pl,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1
perba.formi.cfd,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,1
paypalus.pro,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,1
instagramcan.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,-1,-1,-1,-1,1
panini-git.github.io,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
paypal-service.pages.dev,0,0,1,3,0,0,0,1,0,1,1,0,0,0,0,1
paypal-service.pages.dev,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
rautshre.github.io,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
verifyy-yffb.ubpages.com,0,0,0,1,0,0,0,1,0,8,0,0,0,0,0,1
ritikgoyal-04.github.io,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
bistrokolumna.pl,0,0,1,3,0,0,0,0,0,1,0,-1,-1,-1,-1,1
airbnb.2262reservation.com,0,0,0,1,0,0,0,0,0,0,1,-1,-1,-1,-1,1
airbnb.2262reservation.com,0,0,0,1,0,0,0,0,0,0,1,-1,-1,-1,-1,1
chattts-49f1.beszyrecala.workers.dev,0,0,0,0,0,0,0,1,0,1,1,-1,-1,-1,-1,1
ipfs.io,0,0,1,3,0,0,0,0,0,10,0,0,0,0,0,1
server-109331.weeblysite.com,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,1
bellsouth-107860.weeblysite.com,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,1
microsoft-outlook-106852.weeblysite.com,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,1
indigo396882.studio.site,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
airbnbwithchange.com,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
att-inc-107588.weeblysite.com,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,1
payrollruntimesheet.weebly.com,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,1
bt-internet-106032.weeblysite.com,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,1
bellsouth-102776.weeblysite.com,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,1
birtakipci.net,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
sites.google.com,0,0,0,2,0,0,0,0,0,26,0,0,0,0,0,1
cdas-live.com,0,0,0,0,0,0,0,1,0,0,1,-1,-1,-1,-1,1
microsoftsafe.top,0,0,0,2,0,0,0,0,0,0,1,-1,-1,-1,-1,1
phcelulares.com.br,0,0,0,1,0,0,0,0,0,3,0,-1,-1,-1,-1,1
bis.tajbirideas.com,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
pub-381a899e86af437f8d38bd230830e473.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
aichappraisers.com,0,0,0,3,0,0,0,0,0,10,0,-1,-1,-1,-1,1
pub-b55f8b62eb1e4d519f6e5f74590dfc58.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-d535555a9a234fc989fa9b3cf8c8c3f6.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-99df0f9c4d184ad08969b5ad2c32d4e3.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-c220de8da8b04d34acb16070cfcd5baa.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
liesbetenpascal.be,0,0,1,2,0,0,0,0,0,7,0,-1,-1,-1,-1,1
thefightmagazine.com,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1
9u8y7ftcgrvb328y76rfvehbijhugyvghbjnjihugyvh.dianahunter002.workers.dev,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
geteca6747.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
pub-29c2e1ed118f460bae53b7f3deaa3166.r2.dev,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1
pub-d99482a6cd354defb811ad7877f90aac.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
chaotime95.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
pub-5dfda753a0044475a0a7ab4a3257d3bf.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-682ad3b65d944376b919745aae3c56d4.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
loginaccount61.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
pub-4102a659106847e299eae8cc87536224.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
loginaccount99.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
pub-e8a101e705ba47dd83681919d9f30905.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-ec18ff56fde240baacee6dffae83c84c.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-a1faa69ae47d4063a72c37d8cbb391d8.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pyth-network-io.web.app,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
kennethkerley.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
pub-ea04fbecc8d34dd1a06946fb4614b182.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
flow.page,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1
flow.page,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1
pub-fff326714c2d49028f58c033d78dcb6d.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-a38467bb593a47e881b04aede3d3dd4c.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-db22cbc64f214b2293d90d051e7c188c.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-d85936a61b694753a8b489011149f7b5.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
toitfeerm.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
lcgc717.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
atlglvett.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
hddiiosa.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
pub-3f2a693b47c5443abaf3cfd354fcdc14.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-4be40c14c04c412ab10746d3dc8c1b61.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-682ad3b65d944376b919745aae3c56d4.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
sites.google.com,0,0,1,2,0,0,0,0,0,26,0,0,0,0,1,1
pub-c438abc0be07482ebcb315d7df9c6947.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
nanasue0912.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
pub-5a9bcbd76a5641b2b43a8d930524da27.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-682ad3b65d944376b919745aae3c56d4.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
sswywy78.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
pub-85898ccf2bf04ae9bbc716993ae9553d.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
signinaccountpage.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
pub-8ea4a1cf0bfa4e28a3c767dd62fd8003.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
overjoyed-shorthaired-donkey.glitch.me,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1
cobig99.github.io,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1
att5h6.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
pub-d410c59fa57b46f0b8ab2e04e54dd074.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-682ad3b65d944376b919745aae3c56d4.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
phoenixvilla.rw,0,0,1,2,0,0,0,0,0,4,0,0,0,0,0,1
32652900175411plan.github.io,0,0,1,3,0,0,0,0,0,1,1,0,0,1,0,1
pub-a99c53d6c23946e4a025da611a9aea62.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-20346a63221f4f17b0dfd4183beda90b.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
kafen33591.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
pub-f3a335c3131047a7a157d355c61847fa.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
0778849274k.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
pub-10db0c7b0e09403bb42162f52e2acdd7.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-65792049797b4997aa2b044ef8f5a8e7.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
yeetty.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
pub-ce2d0679453d4fa48743eacb8ce0cf4e.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-4fef6e22e9ae44de8730181f147ab809.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-d2a0021924764eedb4e8af0537ced919.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-945293ef7a9047adb26d2ddd47a2d837.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-f2a7a6151b8e45fa9c87891a1b3af4cb.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-ff85b3f6a2974a0e85ad06c43917a130.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-261e8836f1b24ecfaa31c66de131240e.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-0536fa8c09fd4a6ebfeec55890e0f6cd.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-a5de5e18fb86488ab110b45a6c45ab42.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-e90bd28b4a934a16bce6eb722ff71e36.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-73f56b10964344619ad4d43650e70cab.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1
pub-458e050fc52644c690a3e9a4e0547c70.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-1e734cf664214988a92dea4b101958c0.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
pub-c49953463502493a82d3ca5e653747cc.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
magicbath.co.in,0,0,1,4,0,0,0,0,0,4,0,0,0,0,0,1
bafybeiaqmaet5wahny3zixwa74zg3c5wywxptqmsz35aqdypi6n5jcol34.ipfs.dweb.link,0,0,1,1,0,0,0,0,0,7,0,0,0,0,0,1
submit-apply-here.github.io,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,1
pub-d91a268d1f314eeebe9770974d730478.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
kuluruvineeth.github.io,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
govind-g19.github.io,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
delivery.attempt.failure.ebbs.co.za,0,0,1,2,0,0,0,0,0,14,0,0,0,0,0,1
od1qej.com,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1
delivery.attempt.failure.ebbs.co.za,0,0,1,2,0,0,0,0,0,14,0,0,0,0,0,1
telgaram.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
redstargg.com,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
reviews.bussinesaccount.my.id,0,0,0,1,0,0,0,0,0,0,1,-1,-1,-1,-1,1
reviews.bussinesaccount.my.id,0,0,0,1,0,0,0,0,0,0,1,-1,-1,-1,-1,1
reviews.bussinesaccount.my.id,0,0,0,1,0,0,0,0,0,0,1,-1,-1,-1,-1,1
reviews.bussinesaccount.my.id,0,0,0,1,0,0,0,0,0,0,1,-1,-1,-1,-1,1
links.xmailer.io,0,0,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,1
ron-marom12.github.io,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1
pratham-prog861.github.io,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
sakshipatel2001.github.io,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
zeenathkousar11.github.io,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
amaniona.com,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,1
amanixa.com,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,1
beebagratta.github.io,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
stearnccommunity.com,0,0,1,3,0,0,0,0,0,0,1,-1,-1,-1,-1,1
solutionmartinn.com,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1
bt-internet-109900.weeblysite.com,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,1
steamconmnunitiy.com,0,0,1,3,0,0,0,0,0,0,0,-1,-1,-1,-1,1
page-support-appeal-review.d26vmbpac1b100.amplifyapp.com,0,0,1,1,0,0,0,1,0,6,0,0,0,0,0,1
seeproc.vodin.com.br,0,0,0,0,0,0,0,0,0,5,0,-1,-1,-1,-1,1
meamasklogin8.godaddysites.com,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1
business.ifbsmetaiidentiityconfirms.com,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
dgwefjwahfefdfnlsdklgdvs.pages.dev,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
utahpolicetraining.dog.bly.mybluehost.me,0,0,1,3,0,0,0,0,0,7,0,-1,-1,-1,-1,1
mtmskwaltextnsn.b12sites.com,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1
get-started.amxprd.com,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1
nametovar.com,0,0,1,2,0,0,0,0,0,4,0,0,0,0,0,1
apple.gl6elf.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
delivery.attempt.failure.ebbs.co.za,0,0,1,2,0,0,0,0,0,14,0,0,0,0,0,1
pttgov-cn.top,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
juanarm7.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
65b7d3757c56390008a2d84a--ods-android.netlify.app,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
husnafarhana.github.io,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
ayush766786.github.io,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
ashutoshdz.github.io,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
3hx2vvcm2yd71d1.duckdns.org,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
att-login1102.weeblysite.com,0,0,0,0,0,0,0,1,0,11,0,-1,-1,-1,-1,1
dhanuzdev.github.io,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
att-104696.weeblysite.com,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,1
harbee7.github.io,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
workers-playground-shrill-mud-928d.mslee.workers.dev,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
pub-8f6e538f3b804534a462694b35f2a5c5.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
reviews.bussinesaccount.my.id,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,1
nbl.jln.mybluehost.me,0,0,0,2,0,0,0,0,0,7,0,-1,-1,-1,-1,1
sbcgloballinkupdate-34ujd.weeblysite.com,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,1
modhvadiya.github.io,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
apple-practice-clone.netlify.app,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
attcom-103951.weeblysite.com,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,1
paypal-service.pages.dev,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,1
prathameshndixit.github.io,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
my-site-107441-101397.weeblysite.com,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,1
sreenil.github.io,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
messagriesfrorg0338802541075.yolasite.com,0,0,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,1
bb69nn7.icu,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,1
anmilopbe.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
steamconmumnlty.com,0,0,1,3,0,0,0,0,0,0,1,-1,-1,-1,-1,1
lnky.ru,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
cs2vault.com,0,0,0,1,0,0,1,0,0,0,1,-1,-1,-1,-1,1
gw.ruangguru.com.jiran.fahrylvpn.my.id,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
neurohex.xyz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
paypal-service.pages.dev,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,1
sign-in-att-103732.weeblysite.com,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,1
saranyakharidas.github.io,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
crownjul-dreasm-7206.olinltjsacnrai.workers.dev,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1
ginika-108354.weeblysite.com,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,1
juno-109414.square.site,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1
shibabudzfix.pages.dev,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
swapnilghagre.github.io,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
kajhbscdquiwbjhd.weeblysite.com,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1
dana-official.accept.biz.id,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
crownjul-dreasm-7206.olinltjsacnrai.workers.dev,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1
crownjul-dreasm-7206.olinltjsacnrai.workers.dev,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1
crownjul-dreasm-7206.olinltjsacnrai.workers.dev,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1
tinyurl.com,0,0,0,1,0,0,1,0,0,22,0,-1,-1,-1,-1,1
wilhite-sun-0e81.indigopayable.workers.dev,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
